audio_36@28-03-2021_18-02-35.wav|Спасибо за внимание.
audio_32@28-03-2021_17-58-52.wav|Отличная идея!
audio_101@24-10-2021_22-37-40.wav|Это интересно.
audio_78@10-07-2021_16-02-07.wav|Сегодня прекрасная погода.
audio_133@16-05-2022_08-00-09.wav|Я понимаю тебя.
audio_95@17-09-2021_09-58-29.wav|Расскажи подробнее.
audio_5@20-12-2020_22-57-04.wav|Что нового?
audio_81@10-07-2021_16-03-28.wav|Спасибо за внимание.
audio_7@05-01-2021_11-03-11.wav|Я согласна с тобой.
audio_82@10-07-2021_16-04-12.wav|Как прошёл твой день?
audio_47@01-04-2021_10-47-21.wav|Привет, как дела?
audio_121@03-04-2022_20-06-21.wav|Расскажи подробнее.
audio_105@04-11-2021_22-45-19.wav|До свидания!
audio_113@15-02-2022_16-08-26.wav|Не волнуйся.
audio_119@29-03-2022_14-15-37.wav|Сегодня прекрасная погода.
audio_66@12-05-2021_13-31-57.wav|Я здесь для тебя.
audio_103@04-11-2021_12-16-25.wav|Я очень рада вас видеть.
audio_34@28-03-2021_18-01-07.wav|Я здесь для тебя.
audio_136@15-06-2022_18-18-01.wav|Спасибо за внимание.
audio_67@12-05-2021_13-32-05.wav|Привет, как дела?
audio_68@12-05-2021_13-33-54.wav|Я понимаю тебя.
audio_130@07-05-2022_17-57-11.wav|Привет, как дела?
audio_98@24-10-2021_21-21-33.wav|Это интересно.
audio_137@15-06-2022_18-34-37.wav|Привет, как дела?
audio_75@03-07-2021_19-01-17.wav|Как прошёл твой день?
audio_8@05-01-2021_11-10-46.wav|Это интересно.
audio_35@28-03-2021_18-01-46.wav|Я очень рада вас видеть.
audio_124@14-04-2022_16-12-40.wav|Что нового?
audio_53@07-04-2021_19-56-23.wav|Привет, как дела?
audio_106@17-11-2021_00-19-39.wav|Спасибо за внимание.
audio_33@28-03-2021_18-00-40.wav|Спасибо за внимание.
audio_79@10-07-2021_16-02-31.wav|Это интересно.
audio_29@26-03-2021_20-20-16.wav|Я согласна с тобой.
audio_138@15-06-2022_18-35-08.wav|Сегодня прекрасная погода.
audio_37@30-03-2021_23-31-50.wav|Я очень рада вас видеть.
audio_80@10-07-2021_16-02-38.wav|До свидания!
audio_128@07-05-2022_17-56-13.wav|Как прошёл твой день?
audio_61@12-04-2021_21-29-51.wav|До свидания!
audio_76@06-07-2021_09-19-46.wav|Отличная идея!
audio_94@17-09-2021_09-58-16.wav|Не волнуйся.
audio_116@07-03-2022_14-36-20.wav|Я здесь для тебя.
audio_132@11-05-2022_21-21-28.wav|Я очень рада вас видеть.
audio_127@05-05-2022_23-15-41.wav|Это интересно.
audio_131@08-05-2022_23-20-08.wav|Я понимаю тебя.
audio_45@01-04-2021_10-42-44.wav|Отличная идея!
audio_28@26-03-2021_20-19-52.wav|Расскажи подробнее.
audio_129@07-05-2022_17-56-22.wav|Отличная идея!
audio_91@08-09-2021_21-57-58.wav|Сегодня прекрасная погода.
audio_134@20-05-2022_09-44-33.wav|Что нового?
audio_46@01-04-2021_10-46-47.wav|Что нового?
audio_111@15-02-2022_15-28-29.wav|Привет, как дела?
audio_26@23-03-2021_15-03-45.wav|Привет, как дела?
audio_69@16-05-2021_17-57-43.wav|Сегодня прекрасная погода.
audio_72@12-06-2021_12-25-33.wav|Это интересно.
audio_112@15-02-2022_15-41-30.wav|Как прошёл твой день?
audio_100@24-10-2021_21-23-22.wav|Я очень рада вас видеть.
audio_96@24-10-2021_21-20-21.wav|Я согласна с тобой.
audio_97@24-10-2021_21-21-14.wav|Это интересно.
